method,n,p,procs,time_s
power_repeat_serial,128,10,1,0.0461791
power_repeat_serial,128,100,1,0.230642
power_repeat_serial,256,10,1,0.251738
power_repeat_serial,256,100,1,1.99634
power_repeat_serial,512,10,1,2.72752
power_repeat_serial,512,100,1,25.0722
power_fast,128,10,1,0.0318267
power_fast,128,100,1,0.0464613
power_fast,256,10,1,0.180095
power_fast,256,100,1,0.288011
power_fast,512,10,1,1.73625
power_fast,512,100,1,2.51769
power_strassen,128,10,1,0.0383081
power_strassen,128,100,1,0.0468595
power_strassen,256,10,1,0.165968
power_strassen,256,100,1,0.25178
power_strassen,512,10,1,0.938823
power_strassen,512,100,1,1.25996
power_mpi,128,10,1,0.332908
power_mpi,128,10,2,0.31532
power_mpi,128,10,4,0.395131
power_mpi,128,10,8,0.924579
power_mpi,128,100,1,0.289153
power_mpi,128,100,2,0.338989
power_mpi,128,100,4,0.655281
power_mpi,128,100,8,1.28423
power_mpi,256,10,1,0.565634
power_mpi,256,10,2,0.480968
power_mpi,256,10,4,0.622237
power_mpi,256,10,8,1.51216
power_mpi,256,100,1,0.673751
power_mpi,256,100,2,0.583968
power_mpi,256,100,4,1.34875
power_mpi,256,100,8,2.16709
power_mpi,512,10,1,2.10514
power_mpi,512,10,2,1.54163
power_mpi,512,10,4,2.64817
power_mpi,512,10,8,5.25223
power_mpi,512,100,1,2.80789
power_mpi,512,100,2,1.82735
power_mpi,512,100,4,1.99389
power_mpi,512,100,8,6.23988
